Bear ID,Time,Period,Treatment,PropDev,DistDev
M21 ,Post,night,control,0,1791.200684
M21 ,Post,night,control,0,1777.751343
M28 ,Post,night,AC     ,0,103.0776443
F12 ,Post,day  ,control,0.000795543,98.61541748
F12 ,Post,day  ,control,0.000795543,98.61541748
F13 ,Pre,day  ,AC     ,0.00238663,97.08243561
M28 ,Post,night,AC     ,0.003182173,97.08243561
M28 ,Post,night,AC     ,0.003977716,99.24716949
M21 ,Pre,day  ,control,0.005568802,87.46427917
M21 ,Pre,day  ,control,0.005568802,87.46427917
M21 ,Pre,day  ,control,0.005568802,87.46427917
F05 ,Pre,day  ,control,0.007159889,91.92388153
M28 ,Post,day  ,AC     ,0.007159889,83.81526947
M28 ,Post,day  ,AC     ,0.007159889,83.81526947
M28 ,Post,night,AC     ,0.007159889,95
F04 ,Post,day  ,AC     ,0.007955432,89.44271851
F10 ,Pre,night,control,0.009546518,89.02246857
M28 ,Pre,night,AC     ,0.011933148,93.40770721
F10 ,Pre,day  ,control,0.013524294,88.45903015
M21 ,Pre,day  ,control,0.013524294,93.40770721
M28 ,Post,night,AC     ,0.01511538,55.22680664
M28 ,Post,night,AC     ,0.01511538,55
M21 ,Post,night,control,0.01750201,88.45903015
F05 ,Pre,day  ,control,0.019093096,78.26238251
M21 ,Post,night,control,0.023070812,84.85281372
M28 ,Pre,day  ,AC     ,0.023866355,90
M28 ,Pre,day  ,AC     ,0.023866355,90
M28 ,Pre,day  ,AC     ,0.023866355,90
M28 ,Pre,day  ,AC     ,0.023866355,90
M28 ,Pre,day  ,AC     ,0.023866355,90
M28 ,Pre,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
M28 ,Post,day  ,AC     ,0.023866355,90
F10 ,Post,day  ,control,0.032617331,72.80110168
F13 ,Pre,day  ,AC     ,0.033412874,85.14693451
M17 ,Pre,day  ,AC     ,0.033412874,85.14693451
M17 ,Pre,day  ,AC     ,0.033412874,85.14693451
M28 ,Pre,day  ,AC     ,0.033412874,71.5891037
M21 ,Post,night,control,0.034208417,81.394104
F04 ,Pre,night,AC     ,0.044550538,63.24555206
M21 ,Post,night,control,0.045346081,87.46427917
F12 ,Pre,day  ,control,0.0548926,56.56854248
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F05 ,Post,day  ,control,0.057279229,75.66372681
F04 ,Pre,night,AC     ,0.058870316,55.90169907
F04 ,Pre,night,AC     ,0.058870316,55.90169907
F10 ,Pre,day  ,control,0.058870316,73.82411194
F10 ,Pre,night,control,0.058870316,40
F10 ,Pre,night,control,0.061256945,25
F12 ,Pre,day  ,control,0.062052488,64.03124237
M28 ,Pre,day  ,AC     ,0.062052488,83.21658325
M28 ,Pre,day  ,AC     ,0.062052488,83.21658325
M28 ,Pre,day  ,AC     ,0.062052488,83.21658325
F10 ,Post,day  ,control,0.062052488,50
F12 ,Post,day  ,control,0.062052488,64.03124237
M28 ,Pre,night,AC     ,0.062848032,77.78174591
