Date,Time,BearID,SD,PrevAC_Month,Sex,DistCover,Bear response to researcher,RXN to researchers,BearReactionSage,ProjectileType,Whistle
2007-10-05,13:49:00,BM32,25,6,Male,10,yes,Leave_walk,Leave_Walk,None,No
2007-10-05,14:02:00,BM32,NA,7,Male,10,delayed,Wary,DNR,Gun,Yes
2007-10-05,14:07:00,BM32,NA,8,Male,1,delayed,Wary,DNR,Gun,Yes
2007-10-05,14:21:00,BM32,NA,9,Male,2,delayed,Wary,DNR,Slingshot,Yes
2007-10-05,14:43:00,BM32,NA,10,Male,0,yes,Leave_run,DNR,None,Yes
2007-10-05,15:09:00,BM32,NA,11,Male,20,delayed,Wary,DNR,Slingshot,Yes
2007-10-05,15:16:00,BM32,NA,12,Male,15,yes,Leave_run,DNR,None,No
2007-10-05,15:28:00,BM32,NA,13,Male,15,yes,Leave_run,DNR,None,No
2007-10-05,15:51:00,BM32,NA,14,Male,20,n/a,DNR,DNR,Gun,Yes
2007-10-06,14:56:00,BM32,NA,15,Male,1,yes,Leave_walk,DNR,Slingshot,Yes
2007-10-06,15:13:00,BM32,NA,16,Male,20,yes,Leave_run,DNR,None,No
2007-10-06,15:22:00,BM32,NA,17,Male,20,no,Indifferent,DNR,Slingshot,Yes
2007-10-06,15:30:00,BM32,NA,18,Male,15,yes,Leave_run,DNR,Slingshot,Yes
2007-10-06,16:19:00,BM32,NA,19,Male,10,yes,Leave_walk,DNR,None,No
2007-10-06,16:59:00,BM32,NA,20,Male,10,delayed,Indifferent,DNR,Slingshot,Yes
2007-10-06,,BM32,NA,21,Male,30,yes,Leave_walk,DNR,Slingshot,Yes
2007-10-07,14:09:00,BM32,NA,22,Male,5,yes,Leave_walk,DNR,None,No
2007-10-07,14:22:00,BM32,NA,23,Male,5,yes,Leave_walk,DNR,Slingshot,Yes
2007-10-07,14:54:00,BM32,NA,24,Male,30,yes,Leave_walk,DNR,None,No
2007-10-07,15:43:00,BM32,NA,25,Male,5,n/a,DNR,DNR,Gun,Yes
2007-10-07,,BM32,NA,26,Male,20,yes,Leave_walk,Leave_Walk,None,No
2007-10-13,15:45:00,BM32,20,27,Male,0,yes,Leave_walk,Leave_Walk,None,No
2007-10-14,15:07:00,BM32,44,28,Male,15,delayed,Leave_run,Leave_Run,None,No
04-Aug-08,16:49,BM32_08,NA,0,Male,15,,DNR,NoDisplacement,Slingshot,Unk
04-Aug-08,19:56,BM32_08,NA,1,Male,10,,DNR,NoDisplacement,Slingshot,Unk
05-Aug-08,9:39,BM32_08,NA,2,Male,15,,DNR,NoDisplacement,None,Unk
05-Aug-08,13:46,BM32_08,NA,3,Male,5,,DNR,Leave_walk,Slingshot,Unk
05-Aug-08,16:40,BM32_08,NA,4,Male,5,,DNR,Leave_Run,Slingshot,Unk
05-Aug-08,17:26,BM32_08,NA,5,Male,10,,DNR,Leave_walk,Slingshot,Unk
05-Aug-08,17:34,BM32_08,NA,6,Male,10,,DNR,Leave_Run,Gun,Unk
05-Aug-08,17:34,BM32_08,NA,6,Male,10,,DNR,Leave_Run,Slingshot,Unk
05-Aug-08,18:02,BM32_08,NA,7,Male,2,,DNR,Leave_Run,Gun,Unk
05-Aug-08,18:05,BM32_08,NA,8,Male,5,,DNR,Leave_Run,Gun,Unk
05-Aug-08,18:10,BM32_08,NA,9,Male,5,,DNR,Leave_Run,Gun,Unk
05-Aug-08,18:10,BM32_08,NA,10,Male,5,,DNR,DNR,None,Unk
05-Aug-08,18:40,BM32_08,NA,11,Male,5,,DNR,Leave_Run,Slingshot,Unk
05-Aug-08,18:53,BM32_08,NA,12,Male,15,,DNR,Leave_Run,Gun,Unk
05-Aug-08,18:55,BM32_08,NA,13,Male,10,,DNR,DNR,None,Unk
05-Aug-08,19:02,BM32_08,NA,14,Male,1,,DNR,DNR,None,Unk
05-Aug-08,19:07,BM32_08,NA,15,Male,1,,DNR,DNR,None,Unk
05-Aug-08,19:16,BM32_08,NA,16,Male,10,,DNR,DNR,None,Unk
05-Aug-08,19:18,BM32_08,NA,17,Male,4,,DNR,Leave_Run,Gun,Unk
05-Aug-08,19:18,BM32_08,NA,17,Male,4,,DNR,Leave_Run,Slingshot,Unk
05-Aug-08,19:25,BM32_08,NA,18,Male,5,,DNR,DNR,None,Unk
05-Aug-08,19:26,BM32_08,NA,19,Male,15,,DNR,Leave_Run,Gun,Unk
05-Aug-08,19:54,BM32_08,NA,20,Male,1,,DNR,Leave_Run,Gun,Unk
05-Aug-08,19:54,BM32_08,NA,20,Male,1,,DNR,Leave_Run,Slingshot,Unk
06-Aug-08,12:30,BM32_08,NA,21,Male,2,,DNR,Leave_Run,Slingshot,Unk
06-Aug-08,17:16,BM32_08,NA,22,Male,1,,DNR,Leave_Run,Gun,Unk
06-Aug-08,17:19,BM32_08,NA,23,Male,1,,DNR,Leave_Run,Slingshot,Unk
06-Aug-08,18:59,BM32_08,NA,24,Male,1,,DNR,Leave_Run,Gun,Unk
06-Aug-08,19:03,BM32_08,NA,25,Male,5,,DNR,Leave_Run,Slingshot,Unk
06-Aug-08,19:17,BM32_08,NA,26,Male,1,,DNR,Leave_Run,Slingshot,Unk
06-Aug-08,19:47,BM32_08,NA,27,Male,1,,DNR,DNR,None,Unk
06-Aug-08,20:09,BM32_08,NA,28,Male,0,,DNR,DNR,None,Unk
06-Aug-08,20:45,BM32_08,NA,29,Male,10,,DNR,Leave_Run,Gun,Unk
06-Aug-08,21:09,BM32_08,NA,30,Male,10,,DNR,DNR,None,Unk
10-Aug-08,14:53,BM32_08,NA,31,Male,0,,DNR,Leave_Run,None,Unk
2007-10-11,,BM33,NA,0,Male,5,yes,Wary,DNR,None,Unk
